id,name,type,source,license,commercial
mw-barbell-curl,Barbell Curl,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
fedb-Barbell_Curls_Lying_Against_An_Incline,Barbell Curls Lying Against An Incline,exercise,free-exercise-db,Public Domain (Unlicense),YES
mw-barbell-curtsy-deficit-lunge,Barbell Curtsy Deficit Lunge,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-curtsy-lunge,Barbell Curtsy Lunge,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-deadlift,Barbell Deadlift,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-deficit-conventional-deadlift,Barbell Deficit Conventional Deadlift,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-deficit-lunge,Barbell Deficit Lunge,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-drag-curl,Barbell Drag Curl,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-feet-elevated-figure-four-glute-bridge,Barbell Feet Elevated Figure Four Glute Bridge,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-feet-elevated-glute-bridge,Barbell Feet Elevated Glute Bridge,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-feet-elevated-single-leg-glute-bridge,Barbell Feet Elevated Single Leg Glute Bridge,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-feet-elevated-staggered-glute-bridge,Barbell Feet Elevated Staggered Glute Bridge,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-figure-four-heels-elevated-hip-thrust,Barbell Figure Four Heels Elevated Hip Thrust,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-figure-four-hip-thrust,Barbell Figure Four Hip Thrust,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
e-14344,Barbell flat bench press,exercise,centr,Centr (scraped — personal use),NO
e-14345,Barbell flat bench press (25% lifting weight),exercise,centr,Centr (scraped — personal use),NO
e-14346,Barbell flat bench press (50% lifting weight),exercise,centr,Centr (scraped — personal use),NO
mw-barbell-floor-press,Barbell Floor Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-forward-lunge,Barbell Forward Lunge,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
e-14684,Barbell forward static lunge - bar only (left),exercise,centr,Centr (scraped — personal use),NO
e-14685,Barbell forward static lunge - bar only (right),exercise,centr,Centr (scraped — personal use),NO
e-14380,Barbell forward static lunge (left),exercise,centr,Centr (scraped — personal use),NO
e-16190,Barbell forward static lunge (left) (25% lifting weight),exercise,centr,Centr (scraped — personal use),NO
e-16192,Barbell forward static lunge (left) (50% lifting weight),exercise,centr,Centr (scraped — personal use),NO
e-14381,Barbell forward static lunge (right),exercise,centr,Centr (scraped — personal use),NO
e-16191,Barbell forward static lunge (right) (25% lifting weight),exercise,centr,Centr (scraped — personal use),NO
e-16193,Barbell forward static lunge (right) (50% lifting weight),exercise,centr,Centr (scraped — personal use),NO
mw-barbell-front-rack-deficit-lunge,Barbell Front Rack Deficit Lunge,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-front-rack-step-up,Barbell Front Rack Step Up,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-front-rack-step-up-knee-drive,Barbell Front Rack Step Up Knee Drive,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-front-raise,Barbell Front Raise,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
e-16161,Barbell front squat,exercise,centr,Centr (scraped — personal use),NO
e-14337,Barbell front squat (25% lifting weight),exercise,centr,Centr (scraped — personal use),NO
e-16159,Barbell front squat (50% lifting weight),exercise,centr,Centr (scraped — personal use),NO
e-16160,Barbell front squat (75% lifting weight),exercise,centr,Centr (scraped — personal use),NO
mw-barbell-front-squat-bodybuilding,Barbell Front Squat Bodybuilding,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-front-squat-olympic,Barbell Front Squat Olympic,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-front-squat-with-straps,Barbell Front Squat With Straps,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
e-12936,Barbell front squats,exercise,centr,Centr (scraped — personal use),NO
e-5925,Barbell front squats,exercise,centr,Centr (scraped — personal use),NO
e-16194,Barbell full deadlift,exercise,centr,Centr (scraped — personal use),NO
mw-barbell-full-front-raise,Barbell Full Front Raise,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
fedb-Barbell_Full_Squat,Barbell Full Squat,exercise,free-exercise-db,Public Domain (Unlicense),YES
mw-barbell-glute-bridge,Barbell Glute Bridge,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
fedb-Barbell_Guillotine_Bench_Press,Barbell Guillotine Bench Press,exercise,free-exercise-db,Public Domain (Unlicense),YES
mw-barbell-guillotine-high-incline-bench-press,Barbell Guillotine High Incline Bench Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-guillotine-incline-bench-press,Barbell Guillotine Incline Bench Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
fedb-Barbell_Hack_Squat,Barbell Hack Squat,exercise,free-exercise-db,Public Domain (Unlicense),YES
mw-barbell-hang-clean-and-press,Barbell Hang Clean And Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-heels-elevated-hip-thrust,Barbell Heels Elevated Hip Thrust,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-heels-up-back-squat,Barbell Heels Up Back Squat,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-heels-up-front-squat,Barbell Heels Up Front Squat,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-high-bar-good-morning,Barbell High Bar Good Morning,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-high-bar-squat,Barbell High Bar Squat,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-high-incline-bench-press,Barbell High Incline Bench Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
mw-barbell-high-pull,Barbell High Pull,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
e-14359,Barbell hip thrust,exercise,centr,Centr (scraped — personal use),NO
mw-barbell-hooklying-bench-press,Barbell Hooklying Bench Press,exercise,musclewiki,MuscleWiki (scraped — personal use),NO
